id,sn,phase,z,MB,x0,x1,c,path,hubble_resid
SN12348_02,SN12348,0.007,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12348_02.txt,-0.56
SN12348_03,SN12348,2.74,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12348_03.txt,-0.56
SN12348_04,SN12348,4.54,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12348_04.txt,-0.56
SN12348_05,SN12348,11.83,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12348_05.txt,-0.56
SN12348_06,SN12348,13.60,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12348_06.txt,-0.56
SN12348_07,SN12348,18.26,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12348_07.txt,-0.56
SN12348_08,SN12348,18.28,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12348_08.txt,-0.56
SN12348_09,SN12348,21.033,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12348_09.txt,-0.56
SN12348_10,SN12348,22.77,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12348_10.txt,-0.56
SN12348_11,SN12348,31.88,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12348_11.txt,-0.56
SN12348_12,SN12348,36.42,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12348_12.txt,-0.56
SN12348_13,SN12348,44.67,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12348_13.txt,-0.56
